거미,판매처,채널,최초관측일,최초가,현재가,변동횟수,가격추이,최근변동일,재고,URL
골든제브라뷰티,더쥬 송파점,네이버,2026-06-02,14000,14000,0,,,재고,https://smartstore.naver.com/tzblossom/products/11476500132
골든제브라뷰티,더쥬 송파점,네이버,2026-06-02,8000,8000,0,,,재고,https://smartstore.naver.com/tzblossom/products/13132491964
골든제브라뷰티,타란센터,네이버,2026-06-02,35000,35000,0,,,재고,https://smartstore.naver.com/tarancenter/products/11823019550
골든제브라뷰티,타란센터,자사몰,2026-06-02,35000,35000,0,,,재고,https://tarancenter.com/product/골든제브라-뷰티-유체-eupalaestrus-larae/1199/category/51/display/1/
골든제브라뷰티,타란툴라코리아,네이버,2026-06-02,35000,35000,0,,,재고,https://smartstore.naver.com/tarantulakorea/products/10922787458
골든제브라뷰티,타란툴라코리아,자사몰,2026-06-02,35000,35000,0,,,재고,https://tarantulakorea.com/product/골든제브라뷰티-유체/650/category/24/display/1/
골리앗 버드이터,거미랑,자사몰,2026-06-02,320000,320000,0,,,품절,https://theraphosidae.co.kr/product/골리앗-버드이터-버건디-15cm-암/191/category/24/display/1/
골리앗 버드이터,거미랑,자사몰,2026-06-02,380000,380000,0,,,품절,https://theraphosidae.co.kr/product/골리앗-버드이터-버건디-1820cm암/192/category/24/display/1/
골리앗 버드이터,거미랑,자사몰,2026-06-02,450000,450000,0,,,품절,https://theraphosidae.co.kr/product/골리앗-버드이터-버건디-18cm-한쌍/193/category/24/display/1/
골리앗 버드이터,거미랑,자사몰,2026-06-02,450000,450000,0,,,품절,https://theraphosidae.co.kr/product/골리앗-버드이터-버건디-18cm한쌍/146/category/24/display/1/
골리앗 스트라이프 렉,거미랑,자사몰,2026-06-02,38000,38000,0,,,품절,https://theraphosidae.co.kr/product/골리앗-스트라이프-렉-유체/1735/category/24/display/1/
골리앗 오렌지 스트라이프렉 학명 Lasiodorides striatus 습성 배회성 수명 약 10~15년 사육온도 23~27도 사육습도 60~80% 사이즈 성장 속도 보통 등갑 가 정 크게 자란다고 골리앗 이라는 관용명이 붙은 골리앗 오렌지 스트라이프렉 입니다. 분양하고 있는 는 급 입니다. ● 추가 사진,타란툴라코리아,네이버,2026-06-02,40000,40000,0,,,품절,https://smartstore.naver.com/tarantulakorea/products/10694360913
골리앗 핑크토,거미랑,자사몰,2026-06-02,150000,150000,0,,,품절,https://theraphosidae.co.kr/product/골리앗-핑크토-베네수엘라-준성체암컷/644/category/24/display/1/
골리앗 핑크토,거미랑,자사몰,2026-06-02,25000,25000,0,,,품절,https://theraphosidae.co.kr/product/골리앗-핑크토-브라질-exavicularia-braunshauseni/1854/category/24/display/1/
골리앗 핑크토,더쥬 송파점,네이버,2026-06-02,25000,25000,0,,,품절,https://smartstore.naver.com/tzblossom/products/10246773942
골리앗 핑크토,타란센터,네이버,2026-06-02,20000,20000,0,,,품절,https://smartstore.naver.com/tarancenter/products/10870605969
골리앗 핑크토,타란센터,자사몰,2026-06-02,20000,20000,0,,,품절,https://tarancenter.com/product/골리앗-핑크토-유체-avicularia-braunshauseni/1121/category/51/display/1/
골리앗 핑크토,타란툴라코리아,네이버,2026-06-02,25000,25000,0,,,품절,https://smartstore.naver.com/tarantulakorea/products/10707791003
골리앗 핑크토 베네수엘라,거미랑,자사몰,2026-06-02,20000,20000,0,,,품절,https://theraphosidae.co.kr/product/골리앗-핑크토-베네수엘라-ex베네수엘라-핑크토-유체/1612/category/24/display/1/
과테 라 타이거럼프,거미랑,자사몰,2026-06-02,12000,12000,0,,,품절,https://theraphosidae.co.kr/product/과테말라-타이거럼프-스파이더-링/804/category/24/display/1/
과테 라 타이거럼프,거미랑,자사몰,2026-06-02,18000,18000,0,,,품절,https://theraphosidae.co.kr/product/과테말라-타이거럼프-유체/1221/category/24/display/1/
과테 라 타이거럼프,거미랑,자사몰,2026-06-02,15000,15000,0,,,품절,https://theraphosidae.co.kr/product/과테말란-타이거럼프-유체/1947/category/24/display/1/
과테 라 타이거럼프,거미랑,자사몰,2026-06-02,15000,15000,0,,,품절,https://theraphosidae.co.kr/product/과테말란-타이거럼프-유체/883/category/24/display/1/
과테 라 타이거럼프,더쥬 송파점,네이버,2026-06-02,10000,10000,0,,,품절,https://smartstore.naver.com/tzblossom/products/8764162622
과테 라 타이거럼프,타란센터,네이버,2026-06-02,12000,12000,0,,,재고,https://smartstore.naver.com/tarancenter/products/11179564135
과테 라 타이거럼프,타란센터,네이버,2026-06-02,10000,10000,0,,,품절,https://smartstore.naver.com/tarancenter/products/6113856239
과테 라 타이거럼프,타란센터,자사몰,2026-06-02,60000,60000,0,,,품절,https://tarancenter.com/product/과테말라-타이거럼프-10cm-암컷-davus-pentaloris/1438/category/51/display/1/
과테 라 타이거럼프,타란센터,자사몰,2026-06-02,30000,30000,0,,,품절,https://tarancenter.com/product/과테말라-타이거럼프-아성체-한쌍-암컷단품만-가능-davus-pentaloris/312/category/51/display/1/
과테 라 타이거럼프,타란센터,자사몰,2026-06-02,12000,12000,0,,,재고,https://tarancenter.com/product/과테말라-타이거럼프-유체-davus-pentaloris/1347/category/51/display/1/
과테 라 타이거럼프,타란센터,자사몰,2026-06-02,10000,10000,0,,,품절,https://tarancenter.com/product/과테말라-타이거럼프-유체-대-davus-pentaloris/1031/category/51/display/1/
과테 라 타이거럼프,타란툴라코리아,네이버,2026-06-02,10000,10000,0,,,재고,https://smartstore.naver.com/tarantulakorea/products/10555850292
관용명 : 가본 드워프 바분,더쥬 송파점,네이버,2026-06-02,20000,20000,0,,,재고,https://smartstore.naver.com/tzblossom/products/13545434514
